motif,N,K,n,x,p
AAAAAAAAAAA,4000,2000,296,237,1.361090146136184e-28
JJJJJJJJ,4000,2000,124,123,8.75058646803075e-37
JJJJJJJJJJJJJ,4000,2000,35,35,2.5048746230672413e-11
JJJJJJJJJJ,4000,2000,73,73,5.422446079954662e-23
JJJJJ,4000,2000,212,206,9.574250412242256e-56
AAAAAAAO,4000,2000,94,76,3.8483381494981365e-10
MJJJJJJ,4000,2000,90,90,2.9004944822393998e-28
AAAAAA,4000,2000,1020,662,1.0270184927232518e-28
EEEAAAAA,4000,2000,140,128,1.0202048398593618e-26
AAAAAAAAA,4000,2000,519,404,3.4513336333193927e-44
AAAAAAAE,4000,2000,142,131,2.442045507845073e-28
AAAAAAA,4000,2000,838,577,2.141015637015094e-35
EAAAAAAAAA,4000,2000,96,89,6.949160227477249e-20
JJJJJJJ,4000,2000,153,152,7.098502478862358e-46
AAAAAE,4000,2000,178,157,2.817453132181716e-28
JJJJJJ,4000,2000,178,175,5.225555742149697e-50
JJJAAA,4000,2000,29,29,1.6816380497346862e-09
AAAAAAAAAA,4000,2000,409,333,9.648477176190254e-44
JJJJJJJJJJJ,4000,2000,57,57,4.629328938315941e-18
JJJJJJJJJ,4000,2000,90,89,2.761024865299066e-26
MMJJJJ,4000,2000,120,116,1.2875493302778056e-30
AAAAJ,4000,2000,50,49,3.4037817008651394e-14
OOOOOO,4000,2000,2150,1174,2.0214511505925997e-10
AAAAAAAA,4000,2000,662,494,2.414231672058378e-45
MJJJJ,4000,2000,125,120,1.0578407107969234e-30
EEAAAAAAAAA,4000,2000,90,85,1.676653711608723e-20
EEAAAAAAA,4000,2000,125,116,8.985771140844321e-26
AAAAA,4000,2000,1229,735,8.267250039877301e-17
EEEAAAAAAA,4000,2000,112,105,2.194831646302301e-24
IIIOOO,4000,2000,215,171,4.27347799999153e-20
LJJJJ,4000,2000,33,33,1.0190911494238073e-10
EEAAAA,4000,2000,177,152,1.3149006962544611e-24
JAAAA,4000,2000,63,60,3.014353191531667e-15
JJJJK,4000,2000,119,112,2.1954931201042966e-26
NNNGG,4000,2000,176,123,3.60097045427902e-08
OOOAAAAAAA,4000,2000,91,74,3.9514406886734503e-10
EEEAAAAAAAAAA,4000,2000,63,60,3.014353191531667e-15
JJJJJJJJJJJJ,4000,2000,43,43,9.049267394609282e-14
EEAAAAAAAAAAA,4000,2000,54,52,6.044900883862272e-14
EAAAA,4000,2000,188,160,5.9372411456588765e-25
JAAAAAA,4000,2000,42,42,1.8292645734353192e-13
EAAAAAAAAAAAAA,4000,2000,33,32,3.519592847766124e-09
EEEAAA,4000,2000,183,156,1.6719580580494113e-24
EEAAAAA,4000,2000,155,141,8.736073102578593e-29
AAAAAAAAAAAAA,4000,2000,162,130,4.686795888998381e-16
MJJJJJ,4000,2000,108,106,4.579253738888183e-30
KJJJJJ,4000,2000,84,80,5.060121776019693e-20
MJJJJJJJJ,4000,2000,65,65,1.597738266700085e-20
OOOOO,4000,2000,2173,1193,8.158593836394108e-12
AAAAAAAAAO,4000,2000,61,57,1.7093672477447823e-13
AAAAEE,4000,2000,173,154,8.748284333898292e-29
EAAAAAAAAAAA,4000,2000,57,54,1.551407213350668e-13
EEAAAAAAAA,4000,2000,105,97,2.7306227679359705e-21
MMMJJJJJJJJ,4000,2000,55,55,1.9049609978517452e-17
AAAAAAAAAE,4000,2000,94,88,1.879291350837583e-20
AAAAAAEEE,4000,2000,129,118,9.916545097289112e-25
AAAAAOOO,4000,2000,117,92,9.467896050052394e-11
AAAAAAAAAOO,4000,2000,61,57,1.7093672477447823e-13
EAAAAAAAAAAAA,4000,2000,44,43,2.057227563853594e-12
AAAAAAAEE,4000,2000,128,118,1.6311933643813594e-25
EEAAAAAA,4000,2000,145,132,4.62820533236083e-27
EAAAAAAAAAA,4000,2000,73,68,1.0402605407256968e-15
AAAAAAAAAAAO,4000,2000,30,29,2.624346300179003e-08
AAAEEE,4000,2000,182,158,1.0636880039321109e-26
AAAAAAAAAAAOOO,4000,2000,30,29,2.624346300179003e-08
MJJJJJJJ,4000,2000,80,80,3.6942516628853297e-25
MMMJJ,4000,2000,131,120,2.790009094722077e-25
AAAJJ,4000,2000,34,34,5.053068542769419e-11
JJJJJJJJJJJJJJJ,4000,2000,24,24,5.5607902926479045e-08
MMJJJJJJJJ,4000,2000,63,63,6.602237876479202e-20
EEEAA,4000,2000,209,174,9.087102069728922e-25
JJJJJJJJK,4000,2000,44,44,4.4754653250569544e-14
JJJJJJJK,4000,2000,60,60,5.534976361785678e-19
AAAAAAAAAAAA,4000,2000,229,183,6.520177088476395e-22
JJJJJK,4000,2000,95,92,1.3231303952600526e-24
AAAAAAOOO,4000,2000,105,84,1.2528390024299757e-10
AAAAAAAJ,4000,2000,25,25,2.7636120770302465e-08
MMJJJJJJJ,4000,2000,77,77,3.1389845983655155e-24
AAEEE,4000,2000,206,174,2.788702756061241e-26
JJJJJJJJJK,4000,2000,29,29,1.6816380497346862e-09
OOOAAAA,4000,2000,132,97,1.9342856534796377e-08
IIIOO,4000,2000,228,183,2.5103636267314577e-22
JJJJJJJJJJJJJJ,4000,2000,28,28,3.3871533131572875e-09
EEEAAAAAAAA,4000,2000,92,86,6.874321882941615e-20
EEEAAAAAAAAAAAA,4000,2000,39,39,1.5086689518685562e-12
EAAAAAA,4000,2000,154,139,1.6513686572352918e-27
