task,config,lr_folder,accuracy_mean,accuracy_std,accuracy_count,f1_mean,f1_std,f1_count,auc_mean,auc_std,auc_count
boundary_nonboundary,25kbp_ctx512,LR3e-5,0.5583809523809523,0.015913755655018014,21,0.5566666666666666,0.015160255055022415,21,0.514095238095238,0.06742247752931121,21
boundary_nonboundary,25kbp_ctx512_excl2,LR3e-5,0.5524,0.01490107731887726,20,0.5547500000000001,0.011973105827557614,20,0.537,0.022909432670041356,20
strong_non,25kbp_ctx512,LR1e-4,0.6001428571428571,0.007273314162133965,14,0.5298571428571429,0.0327997587769205,14,0.18978571428571428,0.21034666572166003,14
strong_non,25kbp_ctx512,LR3e-5,0.59425,0.000999999999999989,16,0.5025625,0.010250000000000021,16,0.0205625,0.08225,16
strong_non,25kbp_ctx512_excl2,LR1e-4,0.6001428571428571,0.007273314162133965,14,0.5298571428571429,0.0327997587769205,14,0.18978571428571428,0.21034666572166003,14
strong_weak,25kbp_ctx512,LR3e-5,0.5225454545454545,0.02444325525114707,11,0.5225454545454545,0.02444325525114707,11,0.670909090909091,0.00582158991091861,11
strong_weak,25kbp_ctx512_excl2,LR1e-4,0.6239,0.006332456079595044,10,0.5392,0.021928165551282332,10,0.7421,0.017990429554503553,10
strong_weak,25kbp_ctx512_excl2,LR3e-5,0.636,0.011195237082497785,10,0.5427000000000001,0.0233049827766987,10,0.7564,0.01805054631367767,10
strong_weak,25kbp_ctx512_excl2_shufdev,LR1e-4,0.5911,0.02324961170524027,10,0.5302,0.025001333297779697,10,0.7016,0.0380122787179792,10
weak_non,25kbp_ctx512,LR1e-4,0.7075833333333333,0.008649312461728176,12,0.5015833333333334,0.0027455197664338145,12,0.027249999999999996,0.044687043068229716,12
weak_non,25kbp_ctx512,LR3e-5,0.712,0.0,14,0.5,0.0,14,0.0,0.0,14
weak_non,25kbp_ctx512_excl2,LR1e-4,0.7074166666666666,0.005775470596069209,12,0.505,0.007045307916362707,12,0.042,0.05878930020149771,12
