motif,N,K,n,x,p,q
OOOOOAAA,6000,2981,828,556,7.154082803551571e-28,2.325893587273387e-27
EEGGG,6000,2981,2462,1539,2.488016547194314e-62,3.2208505120042756e-61
GGGGGGG,6000,2981,2017,1254,1.4452451471668077e-43,9.616958362455766e-43
DDDEE,6000,2981,2155,1322,4.3675713433130075e-42,2.879361848554502e-41
EEEDDD,6000,2981,2072,1296,5.625032701013978e-48,4.5000261608111825e-47
EEEGE,6000,2981,505,353,5.674021027590828e-22,1.5018226660389105e-21
BBGGG,6000,2981,1205,882,8.986741451523592e-77,1.7773777537457772e-75
EEGGGEE,6000,2981,512,354,9.913228997799014e-21,2.5207925165831774e-20
EEGGGE,6000,2981,526,365,8.089827972364695e-22,2.133317598638394e-21
GBAAAAAAA,6000,2981,321,260,8.576769972593384e-33,3.411542022618151e-32
GGGEE,6000,2981,2471,1594,2.580865899556815e-83,5.568413698437734e-82
AAAEEE,6000,2981,799,606,3.593172282126826e-59,4.126352685281129e-58
BBBBBB,6000,2981,760,548,3.6864205658794293e-41,2.262699519746684e-40
EEEDD,6000,2981,2140,1337,8.738545153187318e-50,7.406957320320679e-49
GGEEE,6000,2981,2794,1800,3.4287102573514357e-102,9.764966812936888e-101
BBBBAAAAA,6000,2981,417,311,5.24341708931354e-27,1.644631263256053e-26
GGAAAA,6000,2981,324,241,9.97527748486856e-21,2.527543618941785e-20
FFFFFFFF,6000,2981,602,431,1.1021919424989236e-30,3.9435209198956466e-30
BBBBBBBBB,6000,2981,234,185,3.617588665710722e-21,9.33233018110882e-21
BBBGG,6000,2981,1066,776,4.437561454411941e-64,5.961403312342079e-63
DDDEEE,6000,2981,2111,1296,3.8930291744111535e-41,2.3690912582741372e-40
EEEEDDDDDD,6000,2981,1723,1087,3.939470576292691e-40,2.3181016944796665e-39
EEEAAAAAAAAAA,6000,2981,260,208,6.005578945552136e-25,1.766930664972364e-24
EEEAA,6000,2981,853,580,1.645597348702581e-31,6.232262299341691e-31
BBBAAAAA,6000,2981,807,609,4.367239139214551e-58,4.858553542376189e-57
EEEDDDDDD,6000,2981,1780,1128,1.192591433798699e-43,8.010614159100695e-43
